Id_Comanda;Giorno;Id_dipendente;Tavolo;OrdineCibo;Ordinebevanda;Id_provider
326;08/01/2022;4;4;32;35;1
327;08/01/2022;2;4;25;39;4
328;08/01/2022;3;4;2;33;1
329;08/01/2022;4;4;22;39;3
330;08/01/2022;3;4;8;35;5
331;08/01/2022;4;4;17;35;3
332;08/01/2022;2;4;14;34;4
333;08/01/2022;3;4;10;35;1
334;08/01/2022;4;4;19;37;1
335;08/01/2022;4;4;31;36;5
336;08/01/2022;3;4;4;36;1
337;08/01/2022;4;4;31;36;4
338;08/01/2022;4;4;32;35;3
339;08/01/2022;2;5;21;39;1
340;08/01/2022;2;5;8;35;4
341;08/01/2022;4;5;11;34;1
342;08/01/2022;4;5;5;38;3
343;08/01/2022;4;6;0;34;1
344;08/01/2022;2;6;24;38;5
345;08/01/2022;4;6;12;37;1
346;08/01/2022;3;7;12;37;3
347;08/01/2022;4;7;0;36;1
348;08/01/2022;4;7;26;38;4
349;08/01/2022;3;7;3;34;1
350;08/01/2022;2;7;10;39;1
351;08/01/2022;2;7;11;36;5
352;08/01/2022;4;7;23;33;3
353;08/01/2022;3;7;32;38;2
354;08/01/2022;2;7;5;36;5
355;08/01/2022;4;8;24;36;1
356;08/01/2022;4;8;21;33;5
357;08/01/2022;4;8;24;39;1
358;08/01/2022;2;8;16;37;2
359;08/01/2022;2;8;30;33;1
360;08/01/2022;4;8;21;34;2
361;08/01/2022;2;8;0;39;1
362;08/01/2022;2;8;26;37;1
363;08/01/2022;3;8;1;38;3
364;08/01/2022;3;8;29;38;1
365;08/01/2022;3;8;14;39;5
366;08/01/2022;3;8;5;39;1
367;08/01/2022;3;9;2;39;3
368;08/01/2022;2;9;32;35;4
369;08/01/2022;4;9;3;35;4
370;08/01/2022;2;9;19;35;4
371;08/01/2022;3;9;9;36;1
372;08/01/2022;3;9;24;36;2
373;08/01/2022;2;9;16;39;1
374;08/01/2022;3;9;26;37;1
375;08/01/2022;3;10;4;38;3
376;08/01/2022;2;10;8;36;1
377;08/01/2022;2;10;18;35;3
378;08/01/2022;3;10;0;37;4
379;08/01/2022;3;10;30;34;1
380;09/01/2022;3;1;21;36;1
381;09/01/2022;3;1;26;33;4
382;09/01/2022;2;1;23;39;1
383;09/01/2022;4;1;3;34;1
384;09/01/2022;3;1;20;39;5
385;09/01/2022;4;1;13;36;4
386;09/01/2022;3;2;1;36;2
387;09/01/2022;2;2;14;39;1
388;09/01/2022;3;2;2;38;1
389;09/01/2022;3;2;10;35;4
390;09/01/2022;3;2;10;33;3
391;09/01/2022;2;2;19;33;4
392;09/01/2022;3;2;7;39;1
393;09/01/2022;3;3;16;39;1
394;09/01/2022;3;3;15;35;1
395;09/01/2022;3;3;21;34;1
396;09/01/2022;2;3;31;33;1
397;09/01/2022;3;3;13;35;1
398;09/01/2022;2;3;32;33;4
399;09/01/2022;3;3;19;34;5
400;09/01/2022;2;3;23;39;1
401;09/01/2022;3;4;26;35;1
402;09/01/2022;3;4;0;37;2
403;09/01/2022;3;4;2;39;5
404;09/01/2022;4;4;2;36;2
405;09/01/2022;4;4;30;39;3
406;09/01/2022;2;4;3;38;1
407;09/01/2022;2;5;20;35;3
408;09/01/2022;3;5;18;35;5
409;09/01/2022;3;5;21;38;5
410;09/01/2022;2;5;12;36;2
411;09/01/2022;2;5;25;36;4
412;09/01/2022;2;5;10;34;1
413;09/01/2022;2;5;27;33;5
414;09/01/2022;4;5;6;34;5
415;09/01/2022;2;5;32;33;1
416;09/01/2022;3;6;3;38;2
417;09/01/2022;4;6;7;39;1
418;09/01/2022;2;6;1;38;4
419;09/01/2022;4;7;9;33;1
420;09/01/2022;3;7;25;33;5
421;09/01/2022;2;7;7;35;1
422;09/01/2022;3;7;29;35;1
423;09/01/2022;4;7;24;36;1
424;09/01/2022;3;7;11;34;5
425;09/01/2022;4;8;30;37;5
426;09/01/2022;2;8;5;37;4
427;09/01/2022;2;8;3;38;3
428;09/01/2022;4;8;10;39;4
429;09/01/2022;4;8;17;37;5
430;09/01/2022;4;8;14;38;3
431;09/01/2022;4;9;5;36;1
432;09/01/2022;3;9;30;39;1
433;09/01/2022;4;9;21;37;1
434;09/01/2022;4;9;13;35;1
435;09/01/2022;4;9;12;36;1
436;09/01/2022;2;9;18;39;1
437;09/01/2022;2;9;19;33;3
438;09/01/2022;3;9;12;39;1
439;09/01/2022;2;10;24;37;1
440;09/01/2022;4;10;19;36;4
441;09/01/2022;2;10;27;39;3
442;09/01/2022;4;10;19;39;1
443;09/01/2022;4;10;16;37;1
444;09/01/2022;3;10;32;37;1
445;10/01/2022;2;1;10;33;1
446;10/01/2022;2;1;14;38;2
447;10/01/2022;2;1;23;34;1
448;10/01/2022;4;1;4;34;3
449;10/01/2022;3;1;5;33;5
450;10/01/2022;2;1;7;34;3
451;10/01/2022;2;1;28;37;2
452;10/01/2022;3;1;25;35;4
453;10/01/2022;4;1;19;38;2
454;10/01/2022;4;2;14;36;4
455;10/01/2022;4;2;2;35;1
456;10/01/2022;4;2;3;36;5
457;10/01/2022;2;2;7;39;4
458;10/01/2022;2;2;15;37;2
459;10/01/2022;2;2;32;34;4
460;10/01/2022;3;3;28;38;2
461;10/01/2022;3;3;12;37;4
462;10/01/2022;2;3;6;39;1
463;10/01/2022;2;3;15;33;4
464;10/01/2022;3;4;28;39;3
465;10/01/2022;4;4;17;35;1
466;10/01/2022;3;4;30;38;1
467;10/01/2022;4;4;27;34;1
468;10/01/2022;3;5;7;35;2
469;10/01/2022;3;5;15;39;1
470;10/01/2022;2;5;15;33;4
471;10/01/2022;3;5;7;34;1
472;10/01/2022;3;5;28;39;2
473;10/01/2022;3;5;23;38;4
474;10/01/2022;2;6;10;37;4
475;10/01/2022;2;6;7;34;5
476;10/01/2022;3;6;20;34;1
477;10/01/2022;4;6;4;37;1
478;10/01/2022;2;6;6;38;2
479;10/01/2022;4;6;30;39;3
480;10/01/2022;4;6;23;36;1
481;10/01/2022;3;6;3;35;1
482;10/01/2022;3;7;17;38;4
483;10/01/2022;4;7;18;34;2
484;10/01/2022;3;7;1;37;3
485;10/01/2022;3;7;18;36;1
486;10/01/2022;3;7;11;37;4
487;10/01/2022;4;7;11;38;1
488;10/01/2022;2;7;30;37;4
489;10/01/2022;2;8;9;36;1
490;10/01/2022;4;8;20;38;1
491;10/01/2022;3;8;27;39;2
492;10/01/2022;2;9;20;36;1
493;10/01/2022;4;9;24;39;1
494;10/01/2022;4;9;2;38;2
495;10/01/2022;3;9;16;37;1
496;10/01/2022;3;9;7;36;1
497;10/01/2022;2;9;2;38;3
498;10/01/2022;2;10;31;33;2
499;10/01/2022;2;10;27;38;1
500;11/01/2022;4;1;17;34;1
501;11/01/2022;2;1;23;37;4
502;11/01/2022;4;1;24;39;1
503;11/01/2022;4;1;19;39;3
504;11/01/2022;3;1;14;38;2
505;11/01/2022;4;1;5;35;5
506;11/01/2022;4;2;14;37;4
507;11/01/2022;4;2;20;35;1
508;11/01/2022;4;2;1;33;5
509;11/01/2022;2;2;24;34;3
510;11/01/2022;2;2;28;33;4
511;11/01/2022;4;2;9;36;1
512;11/01/2022;4;2;23;36;1
513;11/01/2022;2;2;6;34;3
514;11/01/2022;4;2;23;34;1
515;11/01/2022;2;2;6;37;4
516;11/01/2022;3;3;12;35;2
517;11/01/2022;4;3;11;36;2
518;11/01/2022;4;3;23;33;1
519;11/01/2022;4;3;0;37;1
520;11/01/2022;2;3;32;34;1
521;11/01/2022;3;4;13;37;1
522;11/01/2022;2;4;14;33;1
523;11/01/2022;2;4;2;35;1
524;11/01/2022;4;4;32;37;1
525;11/01/2022;2;5;21;39;4
526;11/01/2022;2;5;18;39;4
527;11/01/2022;3;5;12;36;4
528;11/01/2022;2;6;25;34;1
529;11/01/2022;2;6;20;35;2
530;11/01/2022;4;6;7;33;1
531;11/01/2022;3;6;15;39;3
532;11/01/2022;4;6;11;33;1
533;11/01/2022;3;7;23;35;1
534;11/01/2022;2;7;22;33;2
535;11/01/2022;3;7;29;34;2
536;11/01/2022;4;7;24;36;1
537;11/01/2022;3;7;32;39;1
538;11/01/2022;4;7;31;33;1
539;11/01/2022;4;7;3;34;1
540;11/01/2022;4;7;28;37;3
541;11/01/2022;4;8;9;38;2
542;11/01/2022;3;8;17;39;4
543;11/01/2022;2;8;16;35;1
544;11/01/2022;3;9;30;38;5
545;11/01/2022;2;9;15;33;1
546;11/01/2022;4;9;1;34;5
547;11/01/2022;3;9;30;39;4
548;11/01/2022;3;9;26;39;3
549;11/01/2022;3;9;8;36;3
550;11/01/2022;4;10;8;39;3
551;11/01/2022;4;10;28;39;5
552;11/01/2022;2;10;3;35;4
553;12/01/2022;3;1;9;34;5
554;12/01/2022;4;1;4;36;1
555;12/01/2022;2;1;13;35;5
556;12/01/2022;4;1;13;34;1
557;12/01/2022;4;1;31;35;2
558;12/01/2022;3;2;17;34;5
559;12/01/2022;2;2;15;36;1
560;12/01/2022;4;2;17;37;1
561;12/01/2022;2;2;5;36;4
562;12/01/2022;2;2;23;35;1
563;12/01/2022;2;2;8;38;1
564;12/01/2022;3;2;21;34;2
565;12/01/2022;3;3;30;39;5
566;12/01/2022;2;3;29;33;4
567;12/01/2022;2;3;14;38;3
568;12/01/2022;4;3;8;34;3
569;12/01/2022;3;3;3;39;4
570;12/01/2022;2;3;15;39;5
571;12/01/2022;3;3;31;36;1
572;12/01/2022;3;3;13;39;4
573;12/01/2022;4;3;17;39;1
574;12/01/2022;2;3;3;39;3
575;12/01/2022;3;4;29;33;5
576;12/01/2022;3;4;26;35;1
577;12/01/2022;2;4;10;39;5
578;12/01/2022;4;4;1;36;5
579;12/01/2022;3;5;10;39;1
580;12/01/2022;4;5;6;38;1
581;12/01/2022;4;5;8;38;1
582;12/01/2022;4;5;5;35;2
583;12/01/2022;4;5;19;33;1
584;12/01/2022;2;6;30;39;2
585;12/01/2022;3;6;21;38;1
586;12/01/2022;2;6;10;34;3
587;12/01/2022;2;6;18;33;5
588;12/01/2022;3;7;29;36;1
589;12/01/2022;4;7;14;34;3
590;12/01/2022;2;7;0;33;1
591;12/01/2022;4;7;25;37;5
592;12/01/2022;2;7;8;34;5
593;12/01/2022;4;7;20;36;5
594;12/01/2022;2;8;1;33;2
595;12/01/2022;3;8;24;39;5
596;12/01/2022;2;8;2;35;5
597;12/01/2022;2;8;3;39;2
598;12/01/2022;4;9;22;35;2
599;12/01/2022;4;9;16;39;4
600;12/01/2022;2;9;8;39;4
601;12/01/2022;3;9;0;37;2
602;12/01/2022;4;9;22;36;5
603;12/01/2022;3;9;22;37;1
604;12/01/2022;3;9;28;36;1
605;12/01/2022;3;10;21;37;4
606;12/01/2022;2;10;12;38;1
607;12/01/2022;3;10;1;33;1
608;12/01/2022;3;10;11;34;1
609;12/01/2022;2;10;3;38;1
610;12/01/2022;3;10;23;35;5
611;13/01/2022;4;1;16;39;2
612;13/01/2022;3;1;27;38;1
613;13/01/2022;2;1;18;38;3
614;13/01/2022;2;1;14;38;1
615;13/01/2022;3;1;30;33;1
616;13/01/2022;2;1;20;35;1
617;13/01/2022;3;2;21;35;1
618;13/01/2022;3;2;9;39;2
619;13/01/2022;4;2;14;39;3
620;13/01/2022;2;2;12;33;1
621;13/01/2022;2;2;17;38;2
622;13/01/2022;4;3;30;35;3
623;13/01/2022;2;3;3;36;4
624;13/01/2022;3;3;1;39;1
625;13/01/2022;4;3;22;39;1
626;13/01/2022;4;3;7;33;5
627;13/01/2022;3;3;1;36;5
628;13/01/2022;4;4;32;36;1
629;13/01/2022;2;4;12;36;2
630;13/01/2022;4;5;32;38;4
631;13/01/2022;2;5;24;38;1
632;13/01/2022;3;5;15;34;1
633;13/01/2022;4;5;21;37;1
634;13/01/2022;4;5;15;34;1
635;13/01/2022;2;5;3;33;1
636;13/01/2022;4;5;3;39;1
637;13/01/2022;4;6;15;34;1
638;13/01/2022;2;6;25;34;1
639;13/01/2022;2;6;32;39;1
640;13/01/2022;4;6;11;37;1
641;13/01/2022;2;6;32;34;3
642;13/01/2022;4;6;6;36;5
643;13/01/2022;4;6;25;33;4
644;13/01/2022;3;6;31;38;3
645;13/01/2022;3;6;27;37;1
646;13/01/2022;4;7;1;39;1
647;13/01/2022;3;7;6;38;4
648;13/01/2022;3;7;20;38;1
649;13/01/2022;4;8;5;36;3
650;13/01/2022;3;8;23;39;1
651;13/01/2022;2;8;5;33;1
652;13/01/2022;3;8;25;34;3
653;13/01/2022;3;8;4;36;3
654;13/01/2022;2;9;21;36;2
655;13/01/2022;2;9;21;36;1
656;13/01/2022;2;9;31;38;4
657;13/01/2022;4;9;8;34;1
658;13/01/2022;2;9;28;36;5
659;13/01/2022;2;9;21;34;5
660;13/01/2022;3;9;22;35;5
661;13/01/2022;2;9;10;34;2
662;13/01/2022;3;9;26;37;2
663;13/01/2022;3;9;1;34;1
664;13/01/2022;3;9;12;34;1
665;13/01/2022;4;9;12;33;1
666;13/01/2022;3;10;6;35;4
667;13/01/2022;4;10;18;36;1
668;13/01/2022;2;10;10;36;2
669;14/01/2022;2;1;4;35;4
670;14/01/2022;3;1;17;34;3
671;14/01/2022;2;2;9;37;2
672;14/01/2022;3;2;14;36;1
673;14/01/2022;3;2;21;38;5
674;14/01/2022;2;2;3;36;1
675;14/01/2022;3;3;1;33;1
676;14/01/2022;4;3;22;34;2
677;14/01/2022;2;3;4;36;1
678;14/01/2022;2;3;4;34;2
679;14/01/2022;2;3;18;39;1
680;14/01/2022;3;3;30;39;1
681;14/01/2022;4;3;16;37;1
682;14/01/2022;4;4;10;33;3
683;14/01/2022;2;4;26;35;3
684;14/01/2022;3;4;4;36;2
685;14/01/2022;4;4;1;37;1
686;14/01/2022;2;4;27;39;4
687;14/01/2022;3;4;12;38;1
688;14/01/2022;3;4;14;36;2
689;14/01/2022;4;5;18;39;3
690;14/01/2022;3;5;26;39;4
691;14/01/2022;4;5;32;33;1
692;14/01/2022;3;5;7;37;1
693;14/01/2022;3;6;21;37;1
694;14/01/2022;2;6;18;37;4
695;14/01/2022;4;6;22;39;2
696;14/01/2022;3;6;4;34;1
697;14/01/2022;4;6;10;34;4
698;14/01/2022;3;6;12;35;5
699;14/01/2022;4;7;15;37;1
700;14/01/2022;2;7;4;33;1
701;14/01/2022;3;7;25;39;3
702;14/01/2022;2;7;24;37;3
703;14/01/2022;2;7;24;35;2
704;14/01/2022;2;7;16;35;3
705;14/01/2022;3;7;14;36;1
706;14/01/2022;3;7;32;37;5
707;14/01/2022;2;7;2;33;1
708;14/01/2022;2;7;6;39;1
709;14/01/2022;4;7;7;34;1
710;14/01/2022;3;8;26;34;4
711;14/01/2022;3;8;10;36;5
712;14/01/2022;2;8;15;39;4
713;14/01/2022;3;8;30;38;1
714;14/01/2022;3;9;6;38;4
715;14/01/2022;2;9;20;34;3
716;14/01/2022;4;9;19;35;1
717;14/01/2022;3;9;27;35;1
718;14/01/2022;4;9;21;35;4
719;14/01/2022;3;9;28;39;4
720;14/01/2022;4;9;26;37;1
721;14/01/2022;4;9;25;39;1
722;14/01/2022;4;10;8;33;1
723;14/01/2022;3;10;11;37;4
724;14/01/2022;3;10;30;38;3
725;14/01/2022;2;10;3;34;4
726;14/01/2022;3;10;23;33;1
727;15/01/2022;3;1;2;36;2
728;15/01/2022;4;1;8;39;3
729;15/01/2022;2;1;13;38;4
730;15/01/2022;2;1;0;38;4
731;15/01/2022;3;2;5;38;3
